Row Labels,Median,,,
McKinnon,1400000,,,
Middle Park,1880000,,,
Moorabbin,1035000,,,
Murrumbeena,1140000,,,
Notting Hill,878000,,,
Oakleigh,1029000,,,
Oakleigh East,920000,,,
Ormond,981000,,,
Port Melbourne,1200000,,,
Prahran,1015000,,,
Ripponlea,657500,,,
Sandringham,1582500,,,
South Melbourne,1200000,,,
South Yarra,802000,,,
Southbank,595000,,,
St Kilda,600000,,,
Surrey Hills,1555000,,,
Toorak,1230000,,,
Windsor,882500,,,
Western Metropolitan,,,,
Aberfeldie,1350000,,max,1380000
Airport West,751500,,min,460000
Albanvale,504500,,,
Albion,623000,,,
Altona,850000,,,
Altona Meadows,620000,,,
Altona North,781000,,,
Ardeer,607000,,,
Ascot Vale,1005000,,,
Avondale Heights,815000,,,
Braybrook,700000,,,
Brooklyn,659000,,,
Bulla,1380000,,,
Burnside,638750,,,
Burnside Heights,616000,,,
Cairnlea,679000,,,
Caroline Springs,591750,,,
Deer Park,567000,,,
Delahey,559000,,,
Derrimut,727500,,,
Diggers Rest,460000,,,
Essendon,1000000,,,
Essendon North,710000,,,
Essendon West,1121000,,,
Footscray,748500,,,
Gladstone Park,620000,,,
Gowanbrae,720000,,,
Hillside,640500,,,
Hoppers Crossing,540000,,,
Kealba,590000,,,
Keilor,765000,,,
Keilor Downs,650250,,,
Keilor East,809000,,,
Keilor Lodge,670000,,,
Keilor Park,682500,,,
Kings Park,503000,,,
Kingsville,945000,,,
Laverton,532500,,,
Maidstone,695000,,,
Manor Lakes,530000,,,
Maribyrnong,805000,,,
Moonee Ponds,1105500,,,
Newport,951500,,,
Niddrie,950000,,,
Plumpton,547000,,,
Point Cook,655000,,,
Rockbank,615000,,,
Seabrook,625000,,,
Seaholme,1097500,,,
Seddon,965000,,,
South Kingsville,827500,,,
Spotswood,965000,,,
St Albans,610000,,,
Strathmore,1200000,,,
Strathmore Heights,860000,,,
Sunbury,518250,,,
Sunshine,725000,,,
Sunshine North,660000,,,
Sunshine West,630000,,,
Sydenham,569000,,,
Tarneit,527500,,,
Taylors Hill,691000,,,
Taylors Lakes,715000,,,
Travancore,972000,,,
Truganina,548750,,,
Tullamarine,600000,,,
Werribee,498000,,,
Werribee South,497500,,,
West Footscray,805000,,,
Wildwood,1030000,,,
Williams Landing,633750,,,
Williamstown,1266000,,,
Williamstown North,881000,,,
Wyndham Vale,465000,,,
Yarraville,936000,,,
Grand Total,840000,,,
